#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 6.914191419142e+03   4.619284686343e+14   7.400909990253e-02  
 6.928692869287e+03   4.616658051152e+14   7.396701656724e-02  
 6.943194319432e+03   4.614028114900e+14   7.392488034312e-02  
 6.957695769577e+03   4.611394906418e+14   7.388269169209e-02  
 6.972197219722e+03   4.608758454697e+14   7.384045107866e-02  
 6.986698669867e+03   4.606118788382e+14   7.379815896174e-02  
 7.001200120012e+03   4.603475935935e+14   7.375581579736e-02  
 7.015701570157e+03   4.600829925641e+14   7.371342203871e-02  
 7.030203020302e+03   4.598180785613e+14   7.367097813616e-02  
 7.044704470447e+03   4.595528543784e+14   7.362848453730e-02  
 7.059205920592e+03   4.592873227916e+14   7.358594168691e-02  
 7.073707370737e+03   4.590214865599e+14   7.354335002702e-02  
 7.088208820882e+03   4.587553484251e+14   7.350070999693e-02  
 7.102710271027e+03   4.584889111123e+14   7.345802203322e-02  
 7.117211721172e+03   4.582221773469e+14   7.341528657258e-02  
 7.131713171317e+03   4.579551497854e+14   7.337250404061e-02  
 7.146214621462e+03   4.576878311199e+14   7.332967486865e-02  
 7.160716071607e+03   4.574202240087e+14   7.328679948257e-02  
 7.175217521752e+03   4.571523310937e+14   7.324387830569e-02  
 7.189718971897e+03   4.568841550006e+14   7.320091175867e-02  
 7.204220422042e+03   4.566156983390e+14   7.315790025963e-02  
 7.218721872187e+03   4.563469637203e+14   7.311484422695e-02  
 7.233223322332e+03   4.560779536868e+14   7.307174406796e-02  
 7.247724772477e+03   4.558086708182e+14   7.302860019595e-02  
 7.262226222622e+03   4.555391176607e+14   7.298541301889e-02  
 7.276727672767e+03   4.552692967450e+14   7.294218294224e-02  
 7.291229122912e+03   4.549992105866e+14   7.289891036902e-02  
 7.305730573057e+03   4.547288616854e+14   7.285559569978e-02  
 7.320232023202e+03   4.544582525265e+14   7.281223933264e-02  
